x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.0,0.0,0.0,0.0,6.8e-6,6.8e-6,6.8e-6,6.8e-6,1.36e-5,1.36e-5,1.36e-5,1.36e-5,2.04e-5,2.04e-5,2.04e-5,2.04e-5
0.0,6.8e-6,1.36e-5,2.04e-5,0.0,6.8e-6,1.36e-5,2.04e-5,0.0,6.8e-6,1.36e-5,2.04e-5,0.0,6.8e-6,1.36e-5,2.04e-5
